VecSize,ThreadCount,AvgMultithreadTime,AvgSingleThreadTime
10000000,1,0.01220,0.01548
10000000,2,0.00644,0.01555
10000000,4,0.01698,0.01588
10000000,8,0.01448,0.01537
10000000,16,0.01203,0.01644
10000000,32,0.00882,0.01561
10000000,64,0.00759,0.01552
10000000,128,0.00864,0.01586
10000000,256,0.01463,0.01634
100000000,1,0.12070,0.14960
100000000,2,0.06316,0.14941
100000000,4,0.17012,0.14953
100000000,8,0.13581,0.14965
100000000,16,0.12062,0.15049
100000000,32,0.09577,0.15169
100000000,64,0.06505,0.15080
100000000,128,0.04860,0.14878
100000000,256,0.05131,0.14942
1000000000,1,1.20552,1.49578
1000000000,2,0.85356,1.49277
1000000000,4,1.67414,1.49427
1000000000,8,1.35411,1.49570
1000000000,16,1.20711,1.53103
1000000000,32,0.88980,1.50624
1000000000,64,0.68983,1.50533
1000000000,128,0.45396,1.50172
1000000000,256,0.37475,1.56488
